record_id,crop_id,farmer_id,location_id,weather_id,pest_id,disease_id,crop_name,farmer_name,location_name,weather_type,pest_name,disease_name,monitoring_date,growth_stage,soil_type,irrigation_method,pest_severity,disease_severity,crop_yield_tons_ha,temperature_c,humidity_pct,rainfall_mm,soil_ph,ndvi_index,health_score,fertilizer_kg_ha,pesticide_l_ha,farm_area_ha,water_usage_l,year,month,quarter,month_name,day_of_week,week_number,total_revenue,yield_category,health_category,pest_risk_score,disease_risk_score,combined_risk,water_efficiency
REC0011,CR001,F001,LOC001,WTH003,PST001,DIS001,Rice,Farmer_F001,Punjab,Rainy,Aphids,Blight,2023-03-31,Fruiting,Laterite,Drip,Medium,Low,1.64,16.1,57.7,165.1,7.41,0.539,70.0,76.4,13.5,10.47,1244.8,2023,3,1,March,Friday,13,257562.0,Low,Good,2,1,3,1.3175
REC0012,CR002,F049,LOC002,WTH004,PST002,DIS002,Rice,Farmer_F049,Haryana,Humid,Whitefly,Rust,2024-08-27,Harvesting,Black,Flood,Critical,Critical,8.29,36.6,59.3,191.1,5.49,0.33,40.0,196.4,68.32,4.47,1263.2,2024,8,3,August,Tuesday,35,555844.5,Very High,Poor,4,4,8,6.5627
REC0013,CR003,F050,LOC003,WTH005,PST003,DIS003,Maize,Farmer_F050,Up,Dry,Thrips,Smut,2024-03-08,Germination,Laterite,Rain-Fed,High,Medium,7.33,32.0,40.6,66.3,6.7,0.345,56.2,186.1,1.06,11.18,1472.6,2024,3,1,March,Friday,10,1229241.0,High,Fair,3,2,5,4.9776
REC0014,CR004,F007,LOC004,WTH006,PST004,DIS004,Soybean,Farmer_F007,Mp,Windy,Stem Borer,Powdery Mildew,2023-02-02,Harvesting,Silt,Sprinkler,Medium,Critical,2.99,17.2,81.7,5.2,5.1,0.382,85.8,108.4,40.94,1.25,852.4,2023,2,1,February,Thursday,5,56062.5,Medium,Excellent,2,4,6,3.5077
REC0015,CR005,F050,LOC005,WTH007,PST005,DIS005,Cotton,Farmer_F050,Rajasthan,Stormy,Bollworm,Downy Mildew,2023-01-31,Germination,Silt,Sprinkler,Medium,Medium,2.77,38.6,75.1,20.5,6.77,0.597,55.7,209.4,61.56,1.21,791.4,2023,1,1,January,Tuesday,5,50275.5,Medium,Fair,2,2,4,3.5001
REC0016,CR006,F028,LOC006,WTH008,PST006,DIS006,Sugarcane,Farmer_F028,Maharashtra,Foggy,Locust,Leaf Spot,2023-04-06,Vegetative,Black,Rain-Fed,High,Low,2.78,39.9,,242.0,8.37,0.367,36.1,255.0,74.78,6.1,1179.5,2023,4,2,April,Thursday,14,254370.0,Medium,Poor,3,1,4,2.3569
REC0017,CR007,F015,LOC007,WTH001,PST007,DIS007,Potato,Farmer_F015,Gujarat,Sunny,Cutworm,Root Rot,2023-08-12,Flowering,Laterite,Flood,Critical,Low,3.63,16.6,35.4,73.9,6.34,0.686,69.0,60.4,72.74,5.63,372.2,2023,8,3,August,Saturday,32,306553.5,Medium,Good,4,1,5,9.7528
REC0018,CR008,F012,LOC008,WTH002,PST008,DIS008,Tomato,Farmer_F012,Karnataka,Cloudy,Mealybug,Mosaic Virus,2023-08-27,Vegetative,Silt,Rain-Fed,Low,High,5.17,22.5,74.2,192.3,5.14,0.424,89.2,174.5,65.57,5.08,911.0,2023,8,3,August,Sunday,34,393954.0,High,Excellent,1,3,4,5.6751
REC0019,CR009,F045,LOC009,WTH003,PST009,DIS009,Barley,Farmer_F045,Ap,Rainy,Armyworm,Wilt,2024-06-01,Germination,Red,Rain-Fed,High,Medium,4.52,36.8,72.5,156.2,5.11,0.155,85.7,222.3,71.06,7.62,910.1,2024,6,2,June,Saturday,22,516636.0,Medium,Excellent,3,2,5,4.9665
REC0020,CR010,F034,LOC010,WTH004,PST010,DIS010,Millet,Farmer_F034,Bihar,Humid,Leafhopper,Anthracnose,2024-09-08,Fruiting,Laterite,Rain-Fed,Low,Medium,3.54,35.2,47.8,95.5,6.36,0.727,42.3,113.1,15.94,5.15,316.3,2024,9,3,September,Sunday,36,273465.0,Medium,Fair,1,2,3,11.1919
REC0021,CR001,F030,LOC001,WTH005,PST001,DIS001,Wheat,Farmer_F030,Punjab,Dry,Aphids,Blight,2023-01-28,Germination,Laterite,Rain-Fed,Critical,Critical,5.78,20.0,91.8,51.4,,0.329,77.1,126.9,22.73,3.29,743.4,2023,1,1,January,Saturday,4,285243.0,High,Good,4,4,8,7.7751
REC0022,CR002,F004,LOC002,WTH006,PST002,DIS002,Rice,Farmer_F004,Haryana,Windy,Whitefly,Rust,2024-07-28,Germination,Black,Drip,Medium,High,2.48,20.7,39.8,30.3,5.08,0.446,45.4,203.4,23.12,4.99,1309.3,2024,7,3,July,Sunday,30,185628.0,Low,Fair,2,3,5,1.8941
REC0023,CR003,F036,LOC003,WTH007,PST003,DIS003,Maize,Farmer_F036,Up,Stormy,Thrips,Smut,2023-07-23,Fruiting,Alluvial,Canal,Medium,High,3.55,25.0,58.1,153.8,7.65,0.648,45.3,274.5,30.16,14.64,1313.0,2023,7,3,July,Sunday,29,779580.0,Medium,Fair,2,3,5,2.7037
REC0024,CR004,F016,LOC004,WTH008,PST004,DIS004,Soybean,Farmer_F016,Mp,Foggy,Stem Borer,Powdery Mildew,2024-10-27,Vegetative,Alluvial,Sprinkler,Critical,High,4.06,28.1,91.3,193.7,6.6,0.366,91.2,252.5,31.47,6.46,329.0,2024,10,4,October,Sunday,43,393414.0,Medium,Excellent,4,3,7,12.3404
REC0025,CR005,F008,LOC005,WTH001,PST005,DIS005,Cotton,Farmer_F008,Rajasthan,Sunny,Bollworm,Downy Mildew,2024-12-19,Flowering,Clay,Flood,Critical,Medium,4.69,31.7,57.3,161.0,6.01,0.145,47.5,195.8,43.56,6.95,317.9,2024,12,4,December,Thursday,51,488932.5,Medium,Fair,4,2,6,14.7531
REC0026,CR006,F030,LOC006,WTH002,PST006,DIS006,Sugarcane,Farmer_F030,Maharashtra,Cloudy,Locust,Leaf Spot,2024-07-12,Germination,Silt,Drip,Critical,Low,,25.0,71.5,132.6,8.15,0.399,48.4,232.6,12.79,8.86,541.5,2024,7,3,July,Friday,28,,,Fair,4,1,5,
REC0027,CR007,F009,LOC007,WTH003,PST007,DIS007,Potato,Farmer_F009,Gujarat,Rainy,Cutworm,Root Rot,2024-03-05,Germination,Clay,Sprinkler,Critical,Low,2.9,27.5,55.8,10.5,5.41,0.856,30.0,141.2,55.3,14.76,1337.2,2024,3,1,March,Tuesday,10,642060.0,Medium,Poor,4,1,5,2.1687
REC0028,CR008,F030,LOC008,WTH004,PST008,DIS008,Tomato,Farmer_F030,Karnataka,Humid,Mealybug,Mosaic Virus,2023-08-14,Flowering,Black,Canal,Critical,Critical,5.1,35.2,47.8,242.1,8.35,0.613,90.9,210.2,13.41,4.0,367.6,2023,8,3,August,Monday,33,306000.0,High,Excellent,4,4,8,13.8738
REC0029,CR009,F043,LOC009,WTH005,PST009,DIS009,Barley,Farmer_F043,Ap,Dry,Armyworm,Wilt,2024-04-04,Germination,Loamy,Rain-Fed,Critical,Critical,5.65,16.0,94.0,199.7,6.1,0.637,85.5,166.5,24.82,10.38,1136.0,2024,4,2,April,Thursday,14,879705.0,High,Excellent,4,4,8,4.9736
REC0030,CR010,F034,LOC010,WTH006,PST010,DIS010,Millet,Farmer_F034,Bihar,Windy,Leafhopper,Anthracnose,2024-08-26,Flowering,Laterite,Canal,Critical,Medium,1.83,21.8,56.6,73.2,8.11,0.606,73.9,97.5,40.27,10.88,331.5,2024,8,3,August,Monday,35,298656.0,Low,Good,4,2,6,5.5204
REC0031,CR001,F036,LOC001,WTH007,PST001,DIS001,Wheat,Farmer_F036,Punjab,Stormy,Aphids,Blight,2023-10-12,Flowering,Red,Sprinkler,Medium,Low,5.75,34.3,88.1,245.0,7.11,0.259,82.5,225.4,63.72,9.31,1010.1,2023,10,4,October,Thursday,41,802987.5,High,Excellent,2,1,3,5.6925
REC0032,CR002,F039,LOC002,WTH008,PST002,DIS002,Rice,Farmer_F039,Haryana,Foggy,Whitefly,Rust,2023-01-07,Flowering,Sandy,Sprinkler,Low,High,2.69,39.2,44.9,150.5,7.89,0.435,40.6,189.1,59.16,1.78,662.9,2023,1,1,January,Saturday,1,71823.0,Medium,Fair,1,3,4,4.0579
REC0033,CR003,F021,LOC003,WTH001,PST003,DIS003,Maize,Farmer_F021,Up,Sunny,Thrips,Smut,2023-06-13,Fruiting,Sandy,Drip,Low,Low,1.96,28.8,43.9,145.6,8.44,0.701,62.1,139.7,51.64,10.31,1225.6,2023,6,2,June,Tuesday,24,303114.0,Low,Good,1,1,2,1.5992
REC0034,CR004,F049,LOC004,WTH002,PST004,DIS004,Soybean,Farmer_F049,Mp,Cloudy,Stem Borer,Powdery Mildew,2024-12-15,Vegetative,Black,Drip,Medium,Critical,8.14,29.4,32.0,187.0,6.01,0.181,54.6,277.8,12.46,1.43,503.8,2024,12,4,December,Sunday,50,174603.0,Very High,Fair,2,4,6,16.1572
REC0035,CR005,F029,LOC005,WTH003,PST005,DIS005,Cotton,Farmer_F029,Rajasthan,Rainy,Bollworm,Downy Mildew,2024-03-08,Vegetative,Sandy,Flood,High,Low,8.26,17.9,72.4,202.9,8.36,0.322,36.6,55.2,43.76,9.14,1031.0,2024,3,1,March,Friday,10,1132446.0,Very High,Poor,3,1,4,8.0116
REC0036,CR006,F040,LOC006,WTH004,PST006,DIS006,Sugarcane,Farmer_F040,Maharashtra,Humid,Locust,Leaf Spot,2023-12-15,Harvesting,Clay,Rain-Fed,Low,High,7.16,27.1,54.0,164.1,6.36,0.321,64.0,128.9,7.0,11.22,506.4,2023,12,4,December,Friday,50,1205028.0,High,Good,1,3,4,14.139
REC0037,CR007,F047,LOC007,WTH005,PST007,DIS007,Potato,Farmer_F047,Gujarat,Dry,Cutworm,Root Rot,2023-10-12,Fruiting,Black,Canal,High,Critical,3.63,29.4,86.2,32.0,6.35,0.446,94.5,64.2,30.19,3.56,1127.8,2023,10,4,October,Thursday,41,193842.0,Medium,Excellent,3,4,7,3.2187
REC0038,CR008,F033,LOC008,WTH006,PST008,DIS008,Tomato,Farmer_F033,Karnataka,Windy,Mealybug,Mosaic Virus,2023-06-09,Harvesting,Laterite,Rain-Fed,Medium,Medium,2.18,21.5,60.8,84.6,6.19,0.884,32.8,241.6,33.08,12.7,1335.8,2023,6,2,June,Friday,23,415290.0,Low,Poor,2,2,4,1.632
REC0039,CR009,F028,LOC009,WTH007,PST009,DIS009,Barley,Farmer_F028,Ap,Stormy,Armyworm,Wilt,2023-08-09,Vegetative,Clay,Canal,High,Low,6.29,22.3,92.9,232.0,6.89,0.154,50.4,225.5,3.18,0.94,364.8,2023,8,3,August,Wednesday,32,88689.0,High,Fair,3,1,4,17.2423
REC0040,CR010,F036,LOC010,WTH008,PST010,DIS010,Millet,Farmer_F036,Bihar,Foggy,Leafhopper,Anthracnose,2023-12-11,Vegetative,Alluvial,Rain-Fed,Medium,Low,4.58,25.2,42.1,56.2,5.54,0.515,44.5,132.8,21.92,12.74,1326.6,2023,12,4,December,Monday,50,875238.0,Medium,Fair,2,1,3,3.4524
REC0041,CR001,F029,LOC001,WTH001,PST001,DIS001,Wheat,Farmer_F029,Punjab,Sunny,Aphids,Blight,2023-04-15,Vegetative,Sandy,Sprinkler,Critical,Medium,2.35,15.5,86.5,93.0,6.94,0.243,46.7,218.9,76.45,7.17,971.6,2023,4,2,April,Saturday,15,252742.5,Low,Fair,4,2,6,2.4187
REC0042,CR002,F011,LOC002,WTH002,PST002,DIS002,Rice,Farmer_F011,Haryana,Cloudy,Whitefly,Rust,2023-04-05,Germination,Silt,Sprinkler,Critical,Medium,4.97,23.7,80.5,108.0,6.9,0.877,93.6,149.0,76.29,3.66,365.2,2023,4,2,April,Wednesday,14,272853.0,Medium,Excellent,4,2,6,13.609
REC0043,CR003,F048,LOC003,WTH003,PST003,DIS003,Maize,Farmer_F048,Up,Rainy,Thrips,Smut,2024-01-25,Harvesting,Laterite,Rain-Fed,Low,High,1.74,20.7,80.1,109.9,7.67,0.191,62.8,239.1,28.19,2.44,755.8,2024,1,1,January,Thursday,4,63684.0,Low,Good,1,3,4,2.3022
REC0044,CR004,F031,LOC004,WTH004,PST004,DIS004,Soybean,Farmer_F031,Mp,Humid,Stem Borer,Powdery Mildew,2023-04-10,Fruiting,Red,Flood,Low,Low,7.87,23.8,84.9,153.2,7.92,0.423,62.6,163.5,3.45,14.32,409.1,2023,4,2,April,Monday,15,1690476.0,Very High,Good,1,1,2,19.2374
REC0045,CR005,F029,LOC005,WTH005,PST005,DIS005,Cotton,Farmer_F029,Rajasthan,Dry,Bollworm,Downy Mildew,2024-01-03,Harvesting,Loamy,Sprinkler,High,Critical,,18.2,79.5,235.8,6.54,0.69,83.2,153.1,14.33,1.55,1110.5,2024,1,1,January,Wednesday,1,,,Excellent,3,4,7,
REC0046,CR006,F017,LOC006,WTH006,PST006,DIS006,Sugarcane,Farmer_F017,Maharashtra,Windy,Locust,Leaf Spot,2023-12-19,Vegetative,Alluvial,Flood,High,Low,6.14,39.0,70.7,60.2,6.06,0.664,40.8,283.7,31.38,3.39,1186.5,2023,12,4,December,Tuesday,51,312219.0,High,Fair,3,1,4,5.1749
REC0047,CR007,F049,LOC007,WTH007,PST007,DIS007,Potato,Farmer_F049,Gujarat,Stormy,Cutworm,Root Rot,2024-09-10,Fruiting,Loamy,Sprinkler,Low,High,3.68,31.0,38.5,30.4,5.91,0.438,64.1,112.7,75.82,5.54,337.5,2024,9,3,September,Tuesday,37,305808.0,Medium,Good,1,3,4,10.9037
REC0048,CR008,F016,LOC008,WTH008,PST008,DIS008,Tomato,Farmer_F016,Karnataka,Foggy,Mealybug,Mosaic Virus,2023-09-28,Harvesting,Alluvial,Drip,Critical,Critical,5.14,33.3,32.1,49.4,5.68,0.377,60.1,80.1,11.3,9.49,858.0,2023,9,3,September,Thursday,39,731679.0,High,Good,4,4,8,5.9907
REC0049,CR009,F041,LOC009,WTH001,PST009,DIS009,Barley,Farmer_F041,Ap,Sunny,Armyworm,Wilt,2023-02-14,Vegetative,Red,Drip,Medium,Critical,5.33,36.3,89.9,221.7,5.2,0.418,71.8,196.1,61.08,8.4,1259.0,2023,2,1,February,Tuesday,7,671580.0,High,Good,2,4,6,4.2335
REC0050,CR010,F018,LOC010,WTH002,PST010,DIS010,Millet,Farmer_F018,Bihar,Cloudy,Leafhopper,Anthracnose,2024-04-15,Vegetative,Silt,Rain-Fed,Critical,Critical,2.79,28.5,70.1,161.5,6.2,0.311,100.0,292.3,8.69,2.32,1417.0,2024,4,2,April,Monday,16,97092.0,Medium,Excellent,4,4,8,1.9689
REC0051,CR001,F050,LOC001,WTH003,PST001,DIS001,Wheat,Farmer_F050,Punjab,Rainy,Aphids,Blight,2024-07-03,Fruiting,Alluvial,Canal,Low,High,8.29,17.3,81.8,71.5,5.95,0.264,83.9,144.5,78.5,4.7,867.6,2024,7,3,July,Wednesday,27,584445.0,Very High,Excellent,1,3,4,9.5551
REC0052,CR002,F050,LOC002,WTH004,PST002,DIS002,Rice,Farmer_F050,Haryana,Humid,Whitefly,Rust,2023-05-08,Flowering,Sandy,Drip,Medium,Low,6.93,29.5,61.3,204.0,8.38,0.486,57.9,65.5,30.53,3.96,1435.4,2023,5,2,May,Monday,19,411642.0,High,Fair,2,1,3,4.8279
REC0053,CR003,F034,LOC003,WTH005,PST003,DIS003,Maize,Farmer_F034,Up,Dry,Thrips,Smut,2024-01-23,Fruiting,Red,Sprinkler,High,Critical,8.08,30.8,37.6,215.3,6.95,0.315,87.9,134.8,62.02,3.6,896.4,2024,1,1,January,Tuesday,4,436320.0,Very High,Excellent,3,4,7,9.0138
REC0054,CR004,F032,LOC004,WTH006,PST004,DIS004,Soybean,Farmer_F032,Mp,Windy,Stem Borer,Powdery Mildew,2023-03-22,Flowering,Silt,Sprinkler,Low,Medium,7.76,35.1,38.1,211.6,6.22,0.33,41.9,176.5,27.41,6.46,712.4,2023,3,1,March,Wednesday,12,751944.0,Very High,Fair,1,2,3,10.8928
REC0055,CR005,F041,LOC005,WTH007,PST005,DIS005,Cotton,Farmer_F041,Rajasthan,Stormy,Bollworm,Downy Mildew,2024-07-19,Germination,Loamy,Drip,Critical,High,5.69,26.7,74.6,229.7,7.03,0.625,32.1,90.5,50.21,10.71,1302.7,2024,7,3,July,Friday,29,914098.5,High,Poor,4,3,7,4.3679
REC0056,CR006,F016,LOC006,WTH008,PST006,DIS006,Sugarcane,Farmer_F016,Maharashtra,Foggy,Locust,Leaf Spot,2023-10-28,Fruiting,Red,Drip,High,Critical,7.95,18.4,58.0,63.1,5.49,0.875,44.3,214.5,15.36,3.65,840.9,2023,10,4,October,Saturday,43,435262.5,Very High,Fair,3,4,7,9.4542
REC0057,CR007,F018,LOC007,WTH001,PST007,DIS007,Potato,Farmer_F018,Gujarat,Sunny,Cutworm,Root Rot,2024-10-05,Flowering,Sandy,Canal,High,High,2.12,22.7,43.0,188.8,6.55,0.583,53.8,299.4,11.68,5.82,813.5,2024,10,4,October,Saturday,40,185076.0,Low,Fair,3,3,6,2.606
REC0058,CR008,F029,LOC008,WTH002,PST008,DIS008,Tomato,Farmer_F029,Karnataka,Cloudy,Mealybug,Mosaic Virus,2024-09-25,Harvesting,Red,Drip,Low,Medium,2.87,24.8,62.0,115.1,7.19,0.162,65.7,162.9,75.05,6.17,837.4,2024,9,3,September,Wednesday,39,265618.5,Medium,Good,1,2,3,3.4273
REC0059,CR009,F005,LOC009,WTH003,PST009,DIS009,Barley,Farmer_F005,Ap,Rainy,Armyworm,Wilt,2024-01-06,Vegetative,Clay,Rain-Fed,Critical,Critical,1.82,32.4,34.2,210.5,6.71,0.16,73.1,138.7,73.41,14.66,1300.8,2024,1,1,January,Saturday,1,400218.0,Low,Good,4,4,8,1.3991
REC0060,CR010,F046,LOC010,WTH004,PST010,DIS010,Millet,Farmer_F046,Bihar,Humid,Leafhopper,Anthracnose,2024-08-14,Germination,Clay,Canal,Low,Low,3.78,30.4,67.8,182.1,6.41,0.861,93.7,150.2,71.0,14.34,1281.5,2024,8,3,August,Wednesday,33,813078.0,Medium,Excellent,1,1,2,2.9497
REC0061,CR001,F019,LOC001,WTH005,PST001,DIS001,Wheat,Farmer_F019,Punjab,Dry,Aphids,Blight,2023-07-16,Fruiting,Loamy,Drip,Medium,High,4.22,24.6,47.5,194.1,8.48,0.338,65.7,78.8,50.03,12.1,724.6,2023,7,3,July,Sunday,28,765930.0,Medium,Good,2,3,5,5.8239
REC0062,CR002,F016,LOC002,WTH006,PST002,DIS002,Rice,Farmer_F016,Haryana,Windy,Whitefly,Rust,2024-12-22,Flowering,Black,Sprinkler,Medium,Critical,3.4,41.6,81.8,164.0,8.08,0.174,65.1,270.8,64.66,4.0,633.3,2024,12,4,December,Sunday,51,204000.0,Medium,Good,2,4,6,5.3687
REC0063,CR003,F018,LOC003,WTH007,PST003,DIS003,Maize,Farmer_F018,Up,Stormy,Thrips,Smut,2023-03-13,Harvesting,Laterite,Drip,High,Critical,7.3,31.4,50.2,44.4,7.18,0.579,33.5,153.7,5.52,1.49,839.5,2023,3,1,March,Monday,11,163155.0,High,Poor,3,4,7,8.6957
REC0064,CR004,F022,LOC004,WTH008,PST004,DIS004,Soybean,Farmer_F022,Mp,Foggy,Stem Borer,Powdery Mildew,2023-02-16,Flowering,Clay,Rain-Fed,Critical,High,4.0,21.4,59.6,136.3,6.99,0.599,32.4,146.8,26.78,5.1,944.6,2023,2,1,February,Thursday,7,306000.0,Medium,Poor,4,3,7,4.2346
REC0065,CR005,F021,LOC005,WTH001,PST005,DIS005,Cotton,Farmer_F021,Rajasthan,Sunny,Bollworm,Downy Mildew,2024-11-08,Fruiting,Laterite,Rain-Fed,Medium,Medium,3.47,17.7,30.8,246.2,7.17,0.619,68.6,214.9,25.1,4.37,509.8,2024,11,4,November,Friday,45,227458.5,Medium,Good,2,2,4,6.8066
REC0066,CR006,F035,LOC006,WTH002,PST006,DIS006,Sugarcane,Farmer_F035,Maharashtra,Cloudy,Locust,Leaf Spot,2023-08-22,Flowering,Laterite,Sprinkler,Medium,High,5.3,19.1,34.7,234.3,5.7,0.314,60.7,160.5,50.85,7.84,1232.1,2023,8,3,August,Tuesday,34,623280.0,High,Good,2,3,5,4.3016
REC0067,CR007,F006,LOC007,WTH003,PST007,DIS007,Potato,Farmer_F006,Gujarat,Rainy,Cutworm,Root Rot,2023-10-24,Fruiting,Loamy,Canal,Medium,Low,2.49,21.6,55.5,10.8,6.38,0.112,88.7,212.1,28.48,11.78,832.4,2023,10,4,October,Tuesday,43,439983.0,Low,Excellent,2,1,3,2.9914
REC0068,CR008,F009,LOC008,WTH004,PST008,DIS008,Tomato,Farmer_F009,Karnataka,Humid,Mealybug,Mosaic Virus,2023-03-23,Flowering,Sandy,Sprinkler,Medium,Medium,7.12,19.3,61.2,41.2,5.14,0.872,41.2,65.4,11.88,12.95,634.3,2023,3,1,March,Thursday,12,1383060.0,High,Fair,2,2,4,11.225
REC0069,CR009,F010,LOC009,WTH005,PST009,DIS009,Barley,Farmer_F010,Ap,Dry,Armyworm,Wilt,2023-08-27,Vegetative,Loamy,Drip,Low,Low,2.02,20.0,69.0,32.9,6.66,0.301,31.7,253.4,47.72,12.75,338.9,2023,8,3,August,Sunday,34,386325.0,Low,Poor,1,1,2,5.9605
REC0070,CR010,F015,LOC010,WTH006,PST010,DIS010,Millet,Farmer_F015,Bihar,Windy,Leafhopper,Anthracnose,2023-04-14,Fruiting,Black,Sprinkler,High,Low,8.41,22.7,49.0,181.5,6.9,0.641,61.4,285.1,65.15,5.72,510.5,2023,4,2,April,Friday,15,721578.0,Very High,Good,3,1,4,16.474
REC0071,CR001,F025,LOC001,WTH007,PST001,DIS001,Wheat,Farmer_F025,Punjab,Stormy,Aphids,Blight,2024-01-25,Fruiting,Silt,Canal,High,High,6.91,19.7,75.2,204.4,5.8,0.665,46.6,212.2,30.57,10.46,1434.1,2024,1,1,January,Thursday,4,1084179.0,High,Fair,3,3,6,4.8184
REC0072,CR002,F045,LOC002,WTH008,PST002,DIS002,Rice,Farmer_F045,Haryana,Foggy,Whitefly,Rust,2023-10-12,Germination,Clay,Flood,Medium,Critical,2.89,39.2,85.9,53.4,8.37,0.588,33.5,288.6,10.58,5.04,596.6,2023,10,4,October,Thursday,41,218484.0,Medium,Poor,2,4,6,4.8441
REC0073,CR003,F010,LOC003,WTH001,PST003,DIS003,Maize,Farmer_F010,Up,Sunny,Thrips,Smut,2024-04-09,Vegetative,Alluvial,Sprinkler,High,Medium,1.54,17.2,80.7,126.5,8.18,0.35,80.7,87.9,15.74,1.38,419.5,2024,4,2,April,Tuesday,15,31878.0,Low,Excellent,3,2,5,3.671
REC0074,CR004,F046,LOC004,WTH002,PST004,DIS004,Soybean,Farmer_F046,Mp,Cloudy,Stem Borer,Powdery Mildew,2024-10-12,Fruiting,Sandy,Canal,High,Low,7.21,29.2,32.6,210.2,7.53,0.317,37.8,169.4,19.0,10.67,798.9,2024,10,4,October,Saturday,41,1153960.5,High,Poor,3,1,4,9.0249
REC0075,CR005,F014,LOC005,WTH003,PST005,DIS005,Cotton,Farmer_F014,Rajasthan,Rainy,Bollworm,Downy Mildew,2024-01-09,Harvesting,Black,Flood,High,Critical,6.45,26.1,61.2,183.2,6.87,0.578,72.6,200.5,23.99,0.64,599.2,2024,1,1,January,Tuesday,2,61920.0,High,Good,3,4,7,10.7644
